mof,relative_humidity_percent,temperature_c,max_uptake_kgkg,rh50_percent,steepness,regen_temp_c,cycle_minutes,water_stability_score,cost_score,pore_volume_cm3g,surface_area_m2g,uptake_kgkg
MOF-303,5.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.02597221767099699
MOF-303,5.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.029542402280808837
MOF-303,5.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.0216295033331323
MOF-303,5.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.013193757299163333
MOF-303,5.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.016867362592347522
MOF-303,8.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.028510768858533438
MOF-303,8.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.04113225074966025
MOF-303,8.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.05487668936440575
MOF-303,8.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.03127120709439576
MOF-303,8.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.027307354868062964
MOF-303,11.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.06753004731880298
MOF-303,11.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.06593458681450132
MOF-303,11.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.06045083599589215
MOF-303,11.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.0455541707627557
MOF-303,11.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.05266964886670003
MOF-303,14.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.09971473223579219
MOF-303,14.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.07524051933487176
MOF-303,14.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.08222486101371841
MOF-303,14.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.061246733512499194
MOF-303,14.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.06310468787855203
MOF-303,17.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.10810989747290198
MOF-303,17.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.1273896243535066
MOF-303,17.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.1097929314320222
MOF-303,17.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.12304903279815096
MOF-303,17.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.11386223045619707
MOF-303,20.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.17444064276196578
MOF-303,20.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.14648269756767907
MOF-303,20.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.1631521467834646
MOF-303,20.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.16196709762491035
MOF-303,20.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.1533077879559114
MOF-303,23.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.20840262232727286
MOF-303,23.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.2210312122009304
MOF-303,23.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.20595145251612437
