name,short_name,metal_family,max_uptake_kgkg,rh50_percent,steepness,regen_temp_c,cycle_minutes,water_stability_score,cost_score,evidence_score,pore_volume_cm3g,surface_area_m2g,notes,source_hint,tier,evidence_source,n_isotherms,n_points,n_papers,temperature_coverage_k,doi_list,data_quality_flags,fit_r2,resid_p05_kgkg,resid_p95_kgkg,interval_method,evidence_has_isotherm,evidence_independent_sources,evidence_temperature_coverage,evidence_point_density,evidence_regen_stability_data,evidence_quality_penalty,data_rh_min_percent,data_rh_max_percent
Aluminum fumarate,Al-Fumarate,Al,0.422,27.8,0.178,75,55,0.85,0.78,0.78,0.45,1150,"Fit from 3 real NIST ISODB water isotherm(s), 59 points, R^2=0.95 vs digitized data.",10.1021/acs.iecr.5b03509,A,nist_isodb_fit,3,59,1,288;313,10.1021/acs.iecr.5b03509,,0.952,-0.048,0.0608,holdout_20pct_residuals,40.0,10.0,15.0,13.0,0.0,0.0,0.4,88.7
CAU-10-H,CAU-10-H,Al,0.353,1.6,3.0,80,75,0.78,0.73,0.7,0.39,900,"Fit from 5 real NIST ISODB water isotherm(s), 334 points, R^2=0.82 vs digitized data. Data-quality flags: narrow_rh_range_needs_verification -- see provenance_manifest.json.",10.1039/c5ce00789e,B,nist_isodb_fit,5,334,1,288;298,10.1039/c5ce00789e,narrow_rh_range_needs_verification,0.821,-0.0622,0.0961,holdout_20pct_residuals,40.0,10.0,15.0,15.0,0.0,-10.0,0.0,9.9
CuBTC,CuBTC,Cu,0.524,14.2,0.092,105,90,0.35,0.6,0.9,0.78,1700,"Fit from 5 real NIST ISODB water isotherm(s), 113 points, R^2=0.86 vs digitized data.",10.1002/bkcs.10087; 10.1007/s10450-016-9847-0; 10.1016/j.egypro.2009.01.166; 10.1021/ie202325p,A,nist_isodb_fit,5,113,4,298;303;305,10.1002/bkcs.10087;10.1007/s10450-016-9847-0;10.1016/j.egypro.2009.01.166;10.1021/ie202325p,,0.861,-0.1031,0.1471,holdout_20pct_residuals,40.0,20.0,15.0,15.0,0.0,0.0,0.0,99.5
DMOF-1,DMOF-1,Zn,0.06,21.8,1.879,90,80,0.4,0.5,0.64,0.5,1650,"Fit from 1 real NIST ISODB water isotherm(s), 8 points, R^2=0.80 vs digitized data.",10.1021/ie202325p,A,nist_isodb_fit,1,8,1,298,10.1021/ie202325p,,0.805,-0.0157,0.0174,in_sample_residuals_small_n_not_holdout,40.0,10.0,7.0,7.0,0.0,0.0,0.0,89.3
MIL-100(Cr),MIL-100(Cr),Cr,0.887,67.1,0.054,100,100,0.85,0.4,0.66,1.0,1900,"Fit from 1 real NIST ISODB water isotherm(s), 14 points, R^2=0.99 vs digitized data.",10.1021/acs.jpcc.5b06660,A,nist_isodb_fit,1,14,1,298,10.1021/acs.jpcc.5b06660,,0.99,-0.0511,0.0286,in_sample_residuals_small_n_not_holdout,40.0,10.0,7.0,9.0,0.0,0.0,0.0,99.7
MIL-101,MIL-101,Cr,0.95,44.6,0.067,100,110,0.82,0.35,0.59,1.5,3500,"Fit from 1 real NIST ISODB water isotherm(s), 42 points, R^2=0.41 vs digitized data. Data-quality flags: poor_sigmoid_fit_r2_0.41 -- see provenance_manifest.json.",10.1002/cite.201600051,B,nist_isodb_fit,1,42,1,298,10.1002/cite.201600051,poor_sigmoid_fit_r2_0.41,0.412,-0.3626,0.2525,holdout_20pct_residuals,40.0,10.0,7.0,12.0,0.0,-10.0,0.1,95.2
MIL-160,MIL-160,Al,0.366,7.5,0.383,75,60,0.82,0.75,0.8,0.43,1050,"Fit from 4 real NIST ISODB water isotherm(s), 180 points, R^2=0.93 vs digitized data.",10.1002/adma.201502418,A,nist_isodb_fit,4,180,1,293;303;313,10.1002/adma.201502418,,0.925,-0.0361,0.0926,holdout_20pct_residuals,40.0,10.0,15.0,15.0,0.0,0.0,0.0,96.4
Ni-DOBDC,Ni-DOBDC,Ni,0.467,0.5,0.093,110,90,0.55,0.45,0.57,0.58,1350,"Fit from 1 real NIST ISODB water isotherm(s), 18 points, R^2=0.81 vs digitized data. Data-quality flags: branch_uncertain_high_reversal, rh_exceeds_100pct_flagged -- see provenance_manifest.json.",10.1021/acs.iecr.5b04739,B,nist_isodb_fit,1,18,1,298,10.1021/acs.iecr.5b04739,branch_uncertain_high_reversal;rh_exceeds_100pct_flagged,0.813,-0.0363,0.0326,in_sample_residuals_small_n_not_holdout,40.0,10.0,7.0,10.0,0.0,-10.0,5.0,100.0
SIFSIX-Zn (Zn(pyz)2(SiF6)),SIFSIX-Zn,Zn,0.183,16.6,0.078,65,40,0.75,0.5,0.67,0.3,400,"Fit from 1 real NIST ISODB water isotherm(s), 18 points, R^2=0.98 vs digitized data.",10.1021/jacs.5b00838,A,nist_isodb_fit,1,18,1,313,10.1021/jacs.5b00838,,0.983,-0.0088,0.0076,in_sample_residuals_small_n_not_holdout,40.0,10.0,7.0,10.0,0.0,0.0,7.4,82.6
UiO-66,UiO-66,Zr,0.318,37.7,0.045,95,90,0.9,0.55,0.8,0.45,1100,"Fit from 3 real NIST ISODB water isotherm(s), 178 points, R^2=0.76 vs digitized data. Data-quality flags: branch_uncertain_high_reversal -- see provenance_manifest.json.",10.1021/acs.iecr.5b04739; 10.1021/acs.inorgchem.5b00435; 10.1021/ie202325p,B,nist_isodb_fit,3,178,3,273;298,10.1021/acs.iecr.5b04739;10.1021/acs.inorgchem.5b00435;10.1021/ie202325p,branch_uncertain_high_reversal,0.755,-0.053,0.043,holdout_20pct_residuals,40.0,20.0,15.0,15.0,0.0,-10.0,0.0,100.0
