location,hour,temperature_c,relative_humidity_percent,solar_w_m2
"Phoenix, Arizona",0,28.7,32.7,0.0
"Phoenix, Arizona",1,27.8,33.7,0.0
"Phoenix, Arizona",2,27.5,34.0,0.0
"Phoenix, Arizona",3,27.8,33.7,0.0
"Phoenix, Arizona",4,28.7,32.7,0.0
"Phoenix, Arizona",5,30.1,31.1,0.0
"Phoenix, Arizona",6,32.0,29.0,0.0
"Phoenix, Arizona",7,34.2,26.6,223.0
"Phoenix, Arizona",8,36.5,24.0,432.0
"Phoenix, Arizona",9,38.8,21.4,617.0
"Phoenix, Arizona",10,41.0,19.0,765.0
"Phoenix, Arizona",11,42.9,16.9,870.0
"Phoenix, Arizona",12,44.3,15.3,923.0
"Phoenix, Arizona",13,45.2,14.3,923.0
"Phoenix, Arizona",14,45.5,14.0,870.0
"Phoenix, Arizona",15,45.2,14.3,765.0
"Phoenix, Arizona",16,44.3,15.3,617.0
"Phoenix, Arizona",17,42.9,16.9,432.0
"Phoenix, Arizona",18,41.0,19.0,223.0
"Phoenix, Arizona",19,38.8,21.4,0.0
"Phoenix, Arizona",20,36.5,24.0,0.0
"Phoenix, Arizona",21,34.2,26.6,0.0
"Phoenix, Arizona",22,32.0,29.0,0.0
"Phoenix, Arizona",23,30.1,31.1,0.0
"Mojave Desert, California",0,28.7,32.7,0.0
"Mojave Desert, California",1,27.8,33.7,0.0
"Mojave Desert, California",2,27.5,34.0,0.0
"Mojave Desert, California",3,27.8,33.7,0.0
"Mojave Desert, California",4,28.7,32.7,0.0
"Mojave Desert, California",5,30.1,31.1,0.0
"Mojave Desert, California",6,32.0,29.0,0.0
"Mojave Desert, California",7,34.2,26.6,223.0
"Mojave Desert, California",8,36.5,24.0,432.0
"Mojave Desert, California",9,38.8,21.4,617.0
"Mojave Desert, California",10,41.0,19.0,765.0
"Mojave Desert, California",11,42.9,16.9,870.0
"Mojave Desert, California",12,44.3,15.3,923.0
"Mojave Desert, California",13,45.2,14.3,923.0
"Mojave Desert, California",14,45.5,14.0,870.0
"Mojave Desert, California",15,45.2,14.3,765.0
"Mojave Desert, California",16,44.3,15.3,617.0
"Mojave Desert, California",17,42.9,16.9,432.0
"Mojave Desert, California",18,41.0,19.0,223.0
"Mojave Desert, California",19,38.8,21.4,0.0
"Mojave Desert, California",20,36.5,24.0,0.0
"Mojave Desert, California",21,34.2,26.6,0.0
"Mojave Desert, California",22,32.0,29.0,0.0
"Mojave Desert, California",23,30.1,31.1,0.0
"Miami, Florida",0,25.4,85.0,0.0
"Miami, Florida",1,25.1,86.5,0.0
"Miami, Florida",2,25.0,87.0,0.0
"Miami, Florida",3,25.1,86.5,0.0
"Miami, Florida",4,25.4,85.0,0.0
"Miami, Florida",5,25.9,82.6,0.0
"Miami, Florida",6,26.5,79.5,0.0
"Miami, Florida",7,27.2,75.9,160.0
"Miami, Florida",8,28.0,72.0,312.0
"Miami, Florida",9,28.8,68.1,449.0
"Miami, Florida",10,29.5,64.5,563.0
