canonical_material_id,material_name,material_aliases,NIST_isotherm_id,DOI,measurement_type,temperature_K,pressure_bar,pressure_units,relative_humidity_percent,uptake,uptake_units,uptake_kg_per_kg,adsorption_or_desorption_branch,activation_conditions,source_quality_flags
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.000471,bar,1.11,0.016854,g/g,0.01685,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.000784,bar,1.85,0.022472,g/g,0.02247,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.001565,bar,3.69,0.031461,g/g,0.03146,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.001957,bar,4.61,0.047191,g/g,0.04719,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.001958,bar,4.62,0.051685,g/g,0.05169,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.002509,bar,5.91,0.079775,g/g,0.07977,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.002831,bar,6.67,0.132584,g/g,0.13258,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.002908,bar,6.85,0.129213,g/g,0.12921,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.003385,bar,7.98,0.174157,g/g,0.17416,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.00386,bar,9.1,0.213483,g/g,0.21348,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.003939,bar,9.28,0.220225,g/g,0.22023,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.004568,bar,10.77,0.248315,g/g,0.24832,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.004804,bar,11.32,0.262921,g/g,0.26292,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.005826,bar,13.73,0.307865,g/g,0.30786,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.005978,bar,14.09,0.288764,g/g,0.28876,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.00645,bar,15.2,0.307865,g/g,0.30786,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.00692,bar,16.31,0.323596,g/g,0.3236,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.006922,bar,16.32,0.331461,g/g,0.33146,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.007467,bar,17.6,0.331461,g/g,0.33146,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.007936,bar,18.71,0.335955,g/g,0.33596,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.007936,bar,18.71,0.340449,g/g,0.34045,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.008872,bar,20.91,0.340449,g/g,0.34045,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.008872,bar,20.91,0.34382,g/g,0.34382,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.009807,bar,23.12,0.34382,g/g,0.34382,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.010977,bar,25.87,0.350562,g/g,0.35056,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.011912,bar,28.08,0.348315,g/g,0.34831,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.013783,bar,32.49,0.352809,g/g,0.35281,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.013861,bar,32.67,0.353933,g/g,0.35393,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.015887,bar,37.45,0.355056,g/g,0.35506,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.016745,bar,39.47,0.359551,g/g,0.35955,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.017758,bar,41.86,0.359551,g/g,0.35955,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.019785,bar,46.63,0.361798,g/g,0.3618,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.021811,bar,51.41,0.361798,g/g,0.3618,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.022825,bar,53.8,0.366292,g/g,0.36629,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.023759,bar,56.0,0.364045,g/g,0.36405,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.025786,bar,60.78,0.366292,g/g,0.36629,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.025864,bar,60.96,0.367416,g/g,0.36742,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.027812,bar,65.55,0.366292,g/g,0.36629,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.028747,bar,67.76,0.369663,g/g,0.36966,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.029838,bar,70.33,0.368539,g/g,0.36854,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.031787,bar,74.92,0.37191,g/g,0.37191,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.032644,bar,76.94,0.37191,g/g,0.37191,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.034748,bar,81.9,0.375281,g/g,0.37528,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.035683,bar,84.11,0.373034,g/g,0.37303,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.037632,bar,88.7,0.376404,g/g,0.3764,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.038567,bar,90.91,0.375281,g/g,0.37528,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm2,10.1002/adma.201502418,experimental,303.0,0.04075,bar,96.05,0.380899,g/g,0.3809,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm6,10.1002/adma.201502418,experimental,293.0,0.000728,bar,3.15,0.026881,g/g,0.02688,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm6,10.1002/adma.201502418,experimental,293.0,0.000971,bar,4.2,0.041706,g/g,0.04171,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm6,10.1002/adma.201502418,experimental,293.0,0.001486,bar,6.43,0.116726,g/g,0.11673,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm6,10.1002/adma.201502418,experimental,293.0,0.001895,bar,8.21,0.220447,g/g,0.22045,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm6,10.1002/adma.201502418,experimental,293.0,0.001931,bar,8.36,0.203781,g/g,0.20378,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm6,10.1002/adma.201502418,experimental,293.0,0.002067,bar,8.95,0.239898,g/g,0.2399,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,MIL-160,,10.1002adma.201502418.Isotherm6,10.1002/adma.201502418,experimental,293.0,0.002343,bar,10.15,0.271391,g/g,0.27139,adsorption,,digitized_from_figure;branch_inferred_from_point_order
